26,ANCHOVY LOVERS - 14 inches,"black olives, anchovies, capers, roaster garlic, mushrooms & onions",2,14,450
27,ANCHOVY LOVERS  - 18 inches,"black olives, anchovies, capers, roaster garlic, mushrooms & onions",2,18,595
28,#4 CHEESE - 10 inches,"cheese heaven! mozzarella, cheddar, fontina & feta",2,10,250
29,#4 CHEESE - 14 inches,"cheese heaven! mozzarella, cheddar, fontina & feta",2,14,400
30,#4 CHEESE  - 18 inches,"cheese heaven! mozzarella, cheddar, fontina & feta",2,18,560
31,CORONA CHICKEN  - 10 inches,tangy strips of chicken with Southwestern salsa,2,10,250
32,CORONA CHICKEN - 14 inches,tangy strips of chicken with Southwestern salsa,2,14,420
33,CORONA CHICKEN  - 18 inches,tangy strips of chicken with Southwestern salsa,2,18,575
34,GOURMET GARDEN  - 10 inches,"zucchini, grilled eggplant, fresh tomatoes, black olives, capers, mushrooms, onions, red & green bell peppers",2,10,250
35,GOURMET GARDEN - 14 inches,"zucchini, grilled eggplant, fresh tomatoes, black olives, capers, mushrooms, onions, red & green bell peppers",2,14,410
36,GOURMET GARDEN  - 18 inches,"zucchini, grilled eggplant, fresh tomatoes, black olives, capers, mushrooms, onions, red & green bell peppers",2,18,585
37,ROASTED GARLIC  - 10 inches,"shrimp, onions, roasted garlic in wine-butter sauce",2,10,240
38,ROASTED GARLIC - 14 inches,"shrimp, onions, roasted garlic in wine-butter sauce",2,14,405
39,ROASTED GARLIC  - 18 inches,"shrimp, onions, roasted garlic in wine-butter sauce",2,18,505
40,FOUR SEASONS  - 10 inches,"gourmet sampler: NY Classic, #4 Cheese, Anchovy lovers, Roasted Garlic & Shrimp",2,10,275
41,FOUR SEASONS - 14 inches,"gourmet sampler: NY Classic, #4 Cheese, Anchovy lovers, Roasted Garlic & Shrimp",2,14,430
42,FOUR SEASONS  - 18 inches,"gourmet sampler: NY Classic, #4 Cheese, Anchovy lovers, Roasted Garlic & Shrimp",2,18,590
43,CHEESE - 10 inches,,3,10,35
44,CHEESE - 14 inches,,3,14,45
45,CHEESE  - 18 inches,,3,18,60
46,BACON  - 10 inches,,3,10,35
47,BACON - 14 inches,,3,14,45
48,BACON  - 18 inches,,3,18,60
49,GROUND BEEF  - 10 inches,,3,10,35
50,GROUND BEEF - 14 inches,,3,14,45
51,GROUND BEEF  - 18 inches,,3,18,60
52,HAM  - 10 inches,,3,10,35
53,HAM - 14 inches,,3,14,45
54,HAM  - 18 inches,,3,18,60
55,ITALIAN SAUSAGE  - 10 inches,,3,10,35
56,ITALIAN SAUSAGE - 14 inches,,3,14,45
57,ITALIAN SAUSAGE  - 18 inches,,3,18,60
58,PEPPERONI  - 10 inches,,3,10,35
59,PEPPERONI - 14 inches,,3,14,45
60,PEPPERONI  - 18 inches,,3,18,60
61,SALAMI  - 10 inches,,3,10,35
62,SALAMI - 14 inches,,3,14,45
63,SALAMI  - 18 inches,,3,18,60
64,CAPERS  - 10 inches,,3,10,35
65,CAPERS - 14 inches,,3,14,45
66,CAPERS  - 18 inches,,3,18,60
67,ROASTED GARLIC  - 10 inches,,3,10,35
68,ROASTED GARLIC - 14 inches,,3,14,45
69,ROASTED GARLIC  - 18 inches,,3,18,60
70,BELL PEPPER  - 10 inches,,3,10,35
71,BELL PEPPER - 14 inches,,3,14,45
72,BELL PEPPER  - 18 inches,,3,18,60
73,MUSHROOMS  - 10 inches,,3,10,35
74,MUSHROOMS - 14 inches,,3,14,45
75,MUSHROOMS  - 18 inches,,3,18,60
